bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Genesis1:1,PHRASE,In the beginning,H7225,Genesis,ASV
1,Genesis1:1,WORD,God,H430,Genesis,ASV
1,Genesis1:1,WORD,created,H1254,Genesis,ASV
1,Genesis1:1,PHRASE,the heavens,H8064,Genesis,ASV
1,Genesis1:1,WORD,and,H853,Genesis,ASV
1,Genesis1:1,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:2,PHRASE,The earth,H776,Genesis,ASV
1,Genesis1:2,WORD,was,H1961,Genesis,ASV
1,Genesis1:2,WORD,formless,H8414,Genesis,ASV
1,Genesis1:2,PHRASE,and void,H922,Genesis,ASV
1,Genesis1:2,PHRASE,and darkness,H2822,Genesis,ASV
1,Genesis1:2,PHRASE,was over,H5921,Genesis,ASV
1,Genesis1:2,PHRASE,the surface,H6440,Genesis,ASV
1,Genesis1:2,PHRASE,of the deep,H8415,Genesis,ASV
1,Genesis1:2,PHRASE,and the Spirit,H7307,Genesis,ASV
1,Genesis1:2,PHRASE,of God,H430,Genesis,ASV
1,Genesis1:2,PHRASE,was moving,H7363,Genesis,ASV
1,Genesis1:2,WORD,over,H5921,Genesis,ASV
1,Genesis1:2,PHRASE,the surface,H6440,Genesis,ASV
1,Genesis1:2,PHRASE,of the waters,H4325,Genesis,ASV
1,Genesis1:3,WORD,Then,H559,Genesis,ASV
1,Genesis1:3,WORD,God,H430,Genesis,ASV
1,Genesis1:3,WORD,said,H559,Genesis,ASV
1,Genesis1:3,PHRASE,Let there be,H1961,Genesis,ASV
1,Genesis1:3,WORD,light,H216,Genesis,ASV
1,Genesis1:3,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:3,WORD,light,H216,Genesis,ASV
1,Genesis1:4,WORD,God,H430,Genesis,ASV
1,Genesis1:4,WORD,saw,H7200,Genesis,ASV
1,Genesis1:4,WORD,that,H3588,Genesis,ASV
1,Genesis1:4,PHRASE,the light,H216,Genesis,ASV
1,Genesis1:4,PHRASE,was good,H2896,Genesis,ASV
1,Genesis1:4,WORD,and,H914,Genesis,ASV
1,Genesis1:4,WORD,God,H430,Genesis,ASV
1,Genesis1:4,WORD,separated,H914,Genesis,ASV
1,Genesis1:4,PHRASE,the light,H216,Genesis,ASV
1,Genesis1:4,WORD,from,H996,Genesis,ASV
1,Genesis1:4,PHRASE,the darkness,H2822,Genesis,ASV
1,Genesis1:5,WORD,God,H430,Genesis,ASV
1,Genesis1:5,WORD,called,H7121,Genesis,ASV
1,Genesis1:5,PHRASE,the light,H216,Genesis,ASV
1,Genesis1:5,WORD,day,H3117,Genesis,ASV
1,Genesis1:5,PHRASE,and the darkness,H2822,Genesis,ASV
1,Genesis1:5,PHRASE,He called,H7121,Genesis,ASV
1,Genesis1:5,WORD,night,H3915,Genesis,ASV
1,Genesis1:5,PHRASE,And there was,H1961,Genesis,ASV
1,Genesis1:5,WORD,evening,H6153,Genesis,ASV
1,Genesis1:5,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:5,WORD,morning,H1242,Genesis,ASV
1,Genesis1:5,WORD,one,H259,Genesis,ASV
1,Genesis1:5,WORD,day,H3117,Genesis,ASV
1,Genesis1:6,WORD,Then,H559,Genesis,ASV
1,Genesis1:6,WORD,God,H430,Genesis,ASV
1,Genesis1:6,WORD,said,H559,Genesis,ASV
1,Genesis1:6,PHRASE,Let there be,H1961,Genesis,ASV
1,Genesis1:6,PHRASE,an expanse,H7549,Genesis,ASV
1,Genesis1:6,PHRASE,in the midst,H8432,Genesis,ASV
1,Genesis1:6,PHRASE,of the waters,H4325,Genesis,ASV
1,Genesis1:6,PHRASE,and let it,H1961,Genesis,ASV
1,Genesis1:6,WORD,separate,H914,Genesis,ASV
1,Genesis1:6,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:6,WORD,from,H996,Genesis,ASV
1,Genesis1:6,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:7,WORD,God,H430,Genesis,ASV
1,Genesis1:7,WORD,made,H6213,Genesis,ASV
1,Genesis1:7,PHRASE,the expanse,H7549,Genesis,ASV
1,Genesis1:7,PHRASE,and separated,H914,Genesis,ASV
1,Genesis1:7,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:7,WORD,which,H834,Genesis,ASV
1,Genesis1:7,PHRASE,were below,H8478,Genesis,ASV
1,Genesis1:7,PHRASE,the expanse,H7549,Genesis,ASV
1,Genesis1:7,WORD,from,H996,Genesis,ASV
1,Genesis1:7,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:7,WORD,which,H834,Genesis,ASV
1,Genesis1:7,PHRASE,were above,H5921,Genesis,ASV
1,Genesis1:7,PHRASE,the expanse,H7549,Genesis,ASV
1,Genesis1:7,PHRASE,and it was,H1961,Genesis,ASV
1,Genesis1:7,WORD,so,H3651,Genesis,ASV
1,Genesis1:8,WORD,God,H430,Genesis,ASV
1,Genesis1:8,WORD,called,H7121,Genesis,ASV
1,Genesis1:8,PHRASE,the expanse,H7549,Genesis,ASV
1,Genesis1:8,WORD,heaven,H8064,Genesis,ASV
1,Genesis1:8,PHRASE,And there was,H1961,Genesis,ASV
1,Genesis1:8,WORD,evening,H6153,Genesis,ASV
1,Genesis1:8,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:8,WORD,morning,H1242,Genesis,ASV
1,Genesis1:8,WORD,a,H3117,Genesis,ASV
1,Genesis1:8,WORD,second,H8145,Genesis,ASV
1,Genesis1:8,WORD,day,H3117,Genesis,ASV
1,Genesis1:9,WORD,Then,H559,Genesis,ASV
1,Genesis1:9,WORD,God,H430,Genesis,ASV
1,Genesis1:9,WORD,said,H559,Genesis,ASV
1,Genesis1:9,WORD,Let,H6960,Genesis,ASV
1,Genesis1:9,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:9,WORD,below,H8478,Genesis,ASV
1,Genesis1:9,PHRASE,the heavens,H8064,Genesis,ASV
1,Genesis1:9,PHRASE,be gathered,H6960,Genesis,ASV
1,Genesis1:9,WORD,into,H413,Genesis,ASV
1,Genesis1:9,WORD,one,H259,Genesis,ASV
1,Genesis1:9,WORD,place,H4725,Genesis,ASV
1,Genesis1:9,PHRASE,and let,H7200,Genesis,ASV
1,Genesis1:9,PHRASE,the dry land,H3004,Genesis,ASV
1,Genesis1:9,WORD,appear,H7200,Genesis,ASV
1,Genesis1:9,PHRASE,and it was,H1961,Genesis,ASV
1,Genesis1:9,WORD,so,H3651,Genesis,ASV
1,Genesis1:10,WORD,God,H430,Genesis,ASV
1,Genesis1:10,WORD,called,H7121,Genesis,ASV
1,Genesis1:10,PHRASE,the dry land,H3004,Genesis,ASV
1,Genesis1:10,WORD,earth,H776,Genesis,ASV
1,Genesis1:10,PHRASE,and the gathering,H4723,Genesis,ASV
1,Genesis1:10,PHRASE,of the waters,H4325,Genesis,ASV
1,Genesis1:10,PHRASE,He called,H7121,Genesis,ASV
1,Genesis1:10,WORD,seas,H3220,Genesis,ASV
1,Genesis1:10,WORD,and,H7200,Genesis,ASV
1,Genesis1:10,WORD,God,H430,Genesis,ASV
1,Genesis1:10,WORD,saw,H7200,Genesis,ASV
1,Genesis1:10,WORD,that,H3588,Genesis,ASV
1,Genesis1:10,PHRASE,it was,,Genesis,ASV
1,Genesis1:10,WORD,good,H2896,Genesis,ASV
1,Genesis1:11,WORD,Then,H559,Genesis,ASV
1,Genesis1:11,WORD,God,H430,Genesis,ASV
1,Genesis1:11,WORD,said,H559,Genesis,ASV
1,Genesis1:11,WORD,Let,H1876,Genesis,ASV
1,Genesis1:11,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:11,WORD,sprout,H1876,Genesis,ASV
1,Genesis1:11,WORD,vegetation,H1877,Genesis,ASV
1,Genesis1:11,WORD,plants,H6212,Genesis,ASV
1,Genesis1:11,WORD,yielding,H2232,Genesis,ASV
1,Genesis1:11,WORD,seed,H2233,Genesis,ASV
1,Genesis1:11,WORD,and,,Genesis,ASV
1,Genesis1:11,WORD,fruit,H6529,Genesis,ASV
1,Genesis1:11,WORD,trees,H6086,Genesis,ASV
1,Genesis1:11,WORD,on,H5921,Genesis,ASV
1,Genesis1:11,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:11,WORD,bearing,H6213,Genesis,ASV
1,Genesis1:11,WORD,fruit,H6529,Genesis,ASV
1,Genesis1:11,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:11,WORD,with,H834,Genesis,ASV
1,Genesis1:11,WORD,seed,H2233,Genesis,ASV
1,Genesis1:11,PHRASE,in them;,,Genesis,ASV
1,Genesis1:11,PHRASE,and it was,H1961,Genesis,ASV
1,Genesis1:11,WORD,so,H3651,Genesis,ASV
1,Genesis1:12,PHRASE,The earth,H776,Genesis,ASV
1,Genesis1:12,PHRASE,brought forth,H3318,Genesis,ASV
1,Genesis1:12,WORD,vegetation,H1877,Genesis,ASV
1,Genesis1:12,WORD,plants,H6212,Genesis,ASV
1,Genesis1:12,WORD,yielding,H2232,Genesis,ASV
1,Genesis1:12,WORD,seed,H2233,Genesis,ASV
1,Genesis1:12,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:12,PHRASE,and trees,H6086,Genesis,ASV
1,Genesis1:12,WORD,bearing,H6213,Genesis,ASV
1,Genesis1:12,WORD,fruit,H6529,Genesis,ASV
1,Genesis1:12,WORD,with,H834,Genesis,ASV
1,Genesis1:12,WORD,seed,H2233,Genesis,ASV
1,Genesis1:12,PHRASE,"in them,",,Genesis,ASV
1,Genesis1:12,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:12,WORD,and,H7200,Genesis,ASV
1,Genesis1:12,WORD,God,H430,Genesis,ASV
1,Genesis1:12,WORD,saw,H7200,Genesis,ASV
1,Genesis1:12,WORD,that,H3588,Genesis,ASV
1,Genesis1:12,PHRASE,it was,,Genesis,ASV
1,Genesis1:12,WORD,good,H2896,Genesis,ASV
1,Genesis1:13,PHRASE,There was,H1961,Genesis,ASV
1,Genesis1:13,WORD,evening,H6153,Genesis,ASV
1,Genesis1:13,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:13,WORD,morning,H1242,Genesis,ASV
1,Genesis1:13,WORD,a,H3117,Genesis,ASV
1,Genesis1:13,WORD,third,H7992,Genesis,ASV
1,Genesis1:13,WORD,day,H3117,Genesis,ASV
1,Genesis1:14,PHRASE,Then God,H430,Genesis,ASV
1,Genesis1:14,WORD,said,H559,Genesis,ASV
1,Genesis1:14,PHRASE,Let there be lights,H3974,Genesis,ASV
1,Genesis1:14,PHRASE,in the expanse,H7549,Genesis,ASV
1,Genesis1:14,PHRASE,of the heavens,H8064,Genesis,ASV
1,Genesis1:14,PHRASE,to separate,H914,Genesis,ASV
1,Genesis1:14,PHRASE,the day,H3117,Genesis,ASV
1,Genesis1:14,PHRASE,from the night,H3915,Genesis,ASV
1,Genesis1:14,PHRASE,and let them be for signs,H226,Genesis,ASV
1,Genesis1:14,PHRASE,and for seasons,H4150,Genesis,ASV
1,Genesis1:14,PHRASE,and for days,H3117,Genesis,ASV
1,Genesis1:14,PHRASE,and years,H8141,Genesis,ASV
1,Genesis1:15,PHRASE,and let them be,H1961,Genesis,ASV
1,Genesis1:15,PHRASE,for lights,H3974,Genesis,ASV
1,Genesis1:15,PHRASE,in the expanse,H7549,Genesis,ASV
1,Genesis1:15,PHRASE,of the heavens,H8064,Genesis,ASV
1,Genesis1:15,PHRASE,to give light,H215,Genesis,ASV
1,Genesis1:15,WORD,on,H5921,Genesis,ASV
1,Genesis1:15,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:15,PHRASE,and it was,H1961,Genesis,ASV
1,Genesis1:15,WORD,so,H3651,Genesis,ASV
1,Genesis1:16,WORD,God,H430,Genesis,ASV
1,Genesis1:16,WORD,made,H6213,Genesis,ASV
1,Genesis1:16,WORD,the,H3974,Genesis,ASV
1,Genesis1:16,WORD,two,H8147,Genesis,ASV
1,Genesis1:16,WORD,great,H1419,Genesis,ASV
1,Genesis1:16,WORD,lights,H3974,Genesis,ASV
1,Genesis1:16,WORD,the,H3974,Genesis,ASV
1,Genesis1:16,WORD,greater,H1419,Genesis,ASV
1,Genesis1:16,WORD,light,H3974,Genesis,ASV
1,Genesis1:16,PHRASE,to govern,H4475,Genesis,ASV
1,Genesis1:16,PHRASE,the day,H3117,Genesis,ASV
1,Genesis1:16,WORD,and,H853,Genesis,ASV
1,Genesis1:16,WORD,the,H3974,Genesis,ASV
1,Genesis1:16,WORD,lesser,H6996,Genesis,ASV
1,Genesis1:16,WORD,light,H3974,Genesis,ASV
1,Genesis1:16,PHRASE,to govern,H4475,Genesis,ASV
1,Genesis1:16,PHRASE,the night,H3915,Genesis,ASV
1,Genesis1:16,PHRASE,He made,,Genesis,ASV
1,Genesis1:16,PHRASE,the stars,H3556,Genesis,ASV
1,Genesis1:16,WORD,also,H853,Genesis,ASV
1,Genesis1:17,WORD,God,H430,Genesis,ASV
1,Genesis1:17,WORD,placed,H5414,Genesis,ASV
1,Genesis1:17,WORD,them,H853,Genesis,ASV
1,Genesis1:17,PHRASE,in the expanse,H7549,Genesis,ASV
1,Genesis1:17,PHRASE,of the heavens,H8064,Genesis,ASV
1,Genesis1:17,PHRASE,to give light,H215,Genesis,ASV
1,Genesis1:17,WORD,on,H5921,Genesis,ASV
1,Genesis1:17,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:18,PHRASE,and to govern,H4910,Genesis,ASV
1,Genesis1:18,PHRASE,the day,H3117,Genesis,ASV
1,Genesis1:18,PHRASE,and the night,H3915,Genesis,ASV
1,Genesis1:18,PHRASE,and to separate,H914,Genesis,ASV
1,Genesis1:18,PHRASE,the light,H216,Genesis,ASV
1,Genesis1:18,PHRASE,from the darkness,H2822,Genesis,ASV
1,Genesis1:18,PHRASE,and God,H430,Genesis,ASV
1,Genesis1:18,WORD,saw,H7200,Genesis,ASV
1,Genesis1:18,PHRASE,that it was good,H2896,Genesis,ASV
1,Genesis1:19,PHRASE,There was,H1961,Genesis,ASV
1,Genesis1:19,WORD,evening,H6153,Genesis,ASV
1,Genesis1:19,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:19,WORD,morning,H1242,Genesis,ASV
1,Genesis1:19,WORD,a,H3117,Genesis,ASV
1,Genesis1:19,WORD,fourth,H7243,Genesis,ASV
1,Genesis1:19,WORD,day,H3117,Genesis,ASV
1,Genesis1:20,WORD,Then,H559,Genesis,ASV
1,Genesis1:20,WORD,God,H430,Genesis,ASV
1,Genesis1:20,WORD,said,H559,Genesis,ASV
1,Genesis1:20,WORD,Let,H8317,Genesis,ASV
1,Genesis1:20,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:20,WORD,teem,H8317,Genesis,ASV
1,Genesis1:20,PHRASE,with swarms,H8318,Genesis,ASV
1,Genesis1:20,WORD,of,H5315,Genesis,ASV
1,Genesis1:20,WORD,living,H2416,Genesis,ASV
1,Genesis1:20,WORD,creatures,H5315,Genesis,ASV
1,Genesis1:20,WORD,and,H5775,Genesis,ASV
1,Genesis1:20,WORD,let,H5774,Genesis,ASV
1,Genesis1:20,WORD,birds,H5775,Genesis,ASV
1,Genesis1:20,WORD,fly,H5774,Genesis,ASV
1,Genesis1:20,WORD,above,H5921,Genesis,ASV
1,Genesis1:20,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:20,WORD,in,H5921,Genesis,ASV
1,Genesis1:20,PHRASE,the open,H6440,Genesis,ASV
1,Genesis1:20,WORD,expanse,H7549,Genesis,ASV
1,Genesis1:20,PHRASE,of the heavens,H8064,Genesis,ASV
1,Genesis1:21,WORD,God,H430,Genesis,ASV
1,Genesis1:21,WORD,created,H1254,Genesis,ASV
1,Genesis1:21,WORD,the,H8577,Genesis,ASV
1,Genesis1:21,WORD,great,H1419,Genesis,ASV
1,Genesis1:21,PHRASE,sea monsters,H8577,Genesis,ASV
1,Genesis1:21,WORD,and,H853,Genesis,ASV
1,Genesis1:21,WORD,every,H3605,Genesis,ASV
1,Genesis1:21,WORD,living,H2416,Genesis,ASV
1,Genesis1:21,WORD,creature,H5315,Genesis,ASV
1,Genesis1:21,PHRASE,that moves,H7430,Genesis,ASV
1,Genesis1:21,PHRASE,with which,H834,Genesis,ASV
1,Genesis1:21,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:21,WORD,swarmed,H8317,Genesis,ASV
1,Genesis1:21,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:21,WORD,and,H853,Genesis,ASV
1,Genesis1:21,WORD,every,H3605,Genesis,ASV
1,Genesis1:21,WORD,winged,H3671,Genesis,ASV
1,Genesis1:21,WORD,bird,H5775,Genesis,ASV
1,Genesis1:21,PHRASE,after its kind,H4327,Genesis,ASV
1,Genesis1:21,WORD,and,H7200,Genesis,ASV
1,Genesis1:21,WORD,God,H430,Genesis,ASV
1,Genesis1:21,WORD,saw,H7200,Genesis,ASV
1,Genesis1:21,WORD,that,H3588,Genesis,ASV
1,Genesis1:21,PHRASE,it was,,Genesis,ASV
1,Genesis1:21,WORD,good,H2896,Genesis,ASV
1,Genesis1:22,WORD,God,H430,Genesis,ASV
1,Genesis1:22,WORD,blessed,H1288,Genesis,ASV
1,Genesis1:22,WORD,"them,",H853,Genesis,ASV
1,Genesis1:22,WORD,saying,H559,Genesis,ASV
1,Genesis1:22,PHRASE,Be fruitful,H6509,Genesis,ASV
1,Genesis1:22,PHRASE,and multiply,H7235,Genesis,ASV
1,Genesis1:22,PHRASE,and fill,H4390,Genesis,ASV
1,Genesis1:22,PHRASE,the waters,H4325,Genesis,ASV
1,Genesis1:22,PHRASE,in the seas,H3220,Genesis,ASV
1,Genesis1:22,WORD,and,H5775,Genesis,ASV
1,Genesis1:22,WORD,let,H7235,Genesis,ASV
1,Genesis1:22,WORD,birds,H5775,Genesis,ASV
1,Genesis1:22,WORD,multiply,H7235,Genesis,ASV
1,Genesis1:22,PHRASE,on the earth,H776,Genesis,ASV
1,Genesis1:23,PHRASE,There was,H1961,Genesis,ASV
1,Genesis1:23,WORD,evening,H6153,Genesis,ASV
1,Genesis1:23,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:23,WORD,morning,H1242,Genesis,ASV
1,Genesis1:23,WORD,a,H3117,Genesis,ASV
1,Genesis1:23,WORD,fifth,H2549,Genesis,ASV
1,Genesis1:23,WORD,day,H3117,Genesis,ASV
1,Genesis1:24,WORD,Then,H559,Genesis,ASV
1,Genesis1:24,WORD,God,H430,Genesis,ASV
1,Genesis1:24,WORD,said,H559,Genesis,ASV
1,Genesis1:24,WORD,Let,H3318,Genesis,ASV
1,Genesis1:24,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:24,PHRASE,bring forth,H3318,Genesis,ASV
1,Genesis1:24,WORD,living,H2416,Genesis,ASV
1,Genesis1:24,WORD,creatures,H5315,Genesis,ASV
1,Genesis1:24,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:24,WORD,cattle,H929,Genesis,ASV
1,Genesis1:24,PHRASE,and creeping things,H7431,Genesis,ASV
1,Genesis1:24,PHRASE,and beasts,H2416,Genesis,ASV
1,Genesis1:24,PHRASE,of the earth,H776,Genesis,ASV
1,Genesis1:24,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:24,PHRASE,and it was,H1961,Genesis,ASV
1,Genesis1:24,WORD,so,H3651,Genesis,ASV
1,Genesis1:25,WORD,God,H430,Genesis,ASV
1,Genesis1:25,WORD,made,H6213,Genesis,ASV
1,Genesis1:25,PHRASE,the beasts,H2416,Genesis,ASV
1,Genesis1:25,PHRASE,of the earth,H776,Genesis,ASV
1,Genesis1:25,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:25,WORD,and,H853,Genesis,ASV
1,Genesis1:25,PHRASE,the cattle,H929,Genesis,ASV
1,Genesis1:25,PHRASE,after their kind,H4327,Genesis,ASV
1,Genesis1:25,WORD,and,H853,Genesis,ASV
1,Genesis1:25,WORD,everything,H3605,Genesis,ASV
1,Genesis1:25,PHRASE,that creeps,H7431,Genesis,ASV
1,Genesis1:25,PHRASE,on the ground,H127,Genesis,ASV
1,Genesis1:25,PHRASE,after its kind,H4327,Genesis,ASV
1,Genesis1:25,WORD,and,H7200,Genesis,ASV
1,Genesis1:25,WORD,God,H430,Genesis,ASV
1,Genesis1:25,WORD,saw,H7200,Genesis,ASV
1,Genesis1:25,WORD,that,H3588,Genesis,ASV
1,Genesis1:25,PHRASE,it was,,Genesis,ASV
1,Genesis1:25,WORD,good,H2896,Genesis,ASV
1,Genesis1:26,WORD,Then,H559,Genesis,ASV
1,Genesis1:26,WORD,God,H430,Genesis,ASV
1,Genesis1:26,WORD,said,H559,Genesis,ASV
1,Genesis1:26,PHRASE,Let Us make,H6213,Genesis,ASV
1,Genesis1:26,WORD,man,H120,Genesis,ASV
1,Genesis1:26,PHRASE,in Our image,H6754,Genesis,ASV
1,Genesis1:26,PHRASE,according to Our likeness,H1823,Genesis,ASV
1,Genesis1:26,PHRASE,and let them rule,H7287,Genesis,ASV
1,Genesis1:26,PHRASE,over the fish,H1710,Genesis,ASV
1,Genesis1:26,PHRASE,of the sea,H3220,Genesis,ASV
1,Genesis1:26,PHRASE,and over the birds,H5775,Genesis,ASV
1,Genesis1:26,PHRASE,of the sky,H8064,Genesis,ASV
1,Genesis1:26,PHRASE,and over the cattle,H929,Genesis,ASV
1,Genesis1:26,PHRASE,and over all,H3605,Genesis,ASV
1,Genesis1:26,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:26,PHRASE,and over every,H3605,Genesis,ASV
1,Genesis1:26,PHRASE,creeping thing,H7431,Genesis,ASV
1,Genesis1:26,PHRASE,that creeps,H7430,Genesis,ASV
1,Genesis1:26,WORD,on,H5921,Genesis,ASV
1,Genesis1:26,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:27,WORD,God,H430,Genesis,ASV
1,Genesis1:27,WORD,created,H1254,Genesis,ASV
1,Genesis1:27,WORD,man,H120,Genesis,ASV
1,Genesis1:27,PHRASE,in His own image,H6754,Genesis,ASV
1,Genesis1:27,PHRASE,in the image,H6754,Genesis,ASV
1,Genesis1:27,PHRASE,of God,H430,Genesis,ASV
1,Genesis1:27,PHRASE,He created,H1254,Genesis,ASV
1,Genesis1:27,WORD,him;,H853,Genesis,ASV
1,Genesis1:27,WORD,male,H2145,Genesis,ASV
1,Genesis1:27,PHRASE,and female,H5347,Genesis,ASV
1,Genesis1:27,PHRASE,He created,H1254,Genesis,ASV
1,Genesis1:27,WORD,them,H853,Genesis,ASV
1,Genesis1:28,WORD,God,H430,Genesis,ASV
1,Genesis1:28,WORD,blessed,H1288,Genesis,ASV
1,Genesis1:28,WORD,them;,H853,Genesis,ASV
1,Genesis1:28,WORD,and,H559,Genesis,ASV
1,Genesis1:28,WORD,God,H430,Genesis,ASV
1,Genesis1:28,WORD,said,H559,Genesis,ASV
1,Genesis1:28,PHRASE,"to them,",,Genesis,ASV
1,Genesis1:28,PHRASE,Be fruitful,H6509,Genesis,ASV
1,Genesis1:28,PHRASE,and multiply,H7235,Genesis,ASV
1,Genesis1:28,PHRASE,and fill,H4390,Genesis,ASV
1,Genesis1:28,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:28,PHRASE,and subdue it;,H3533,Genesis,ASV
1,Genesis1:28,PHRASE,and rule,H7287,Genesis,ASV
1,Genesis1:28,PHRASE,over the fish,H1710,Genesis,ASV
1,Genesis1:28,PHRASE,of the sea,H3220,Genesis,ASV
1,Genesis1:28,PHRASE,and over the birds,H5775,Genesis,ASV
1,Genesis1:28,PHRASE,of the sky,H8064,Genesis,ASV
1,Genesis1:28,PHRASE,and over every,H3605,Genesis,ASV
1,Genesis1:28,PHRASE,living thing,H2416,Genesis,ASV
1,Genesis1:28,PHRASE,that moves,H7430,Genesis,ASV
1,Genesis1:28,WORD,on,H5921,Genesis,ASV
1,Genesis1:28,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:29,WORD,Then,H559,Genesis,ASV
1,Genesis1:29,WORD,God,H430,Genesis,ASV
1,Genesis1:29,WORD,said,H559,Genesis,ASV
1,Genesis1:29,WORD,Behold,H2009,Genesis,ASV
1,Genesis1:29,PHRASE,I have given,H5414,Genesis,ASV
1,Genesis1:29,WORD,you,,Genesis,ASV
1,Genesis1:29,WORD,every,H3605,Genesis,ASV
1,Genesis1:29,WORD,plant,H6212,Genesis,ASV
1,Genesis1:29,WORD,yielding,H2232,Genesis,ASV
1,Genesis1:29,WORD,seed,H2233,Genesis,ASV
1,Genesis1:29,WORD,that,H834,Genesis,ASV
1,Genesis1:29,WORD,is,,Genesis,ASV
1,Genesis1:29,WORD,on,H5921,Genesis,ASV
1,Genesis1:29,PHRASE,the surface,H6440,Genesis,ASV
1,Genesis1:29,PHRASE,of all,H3605,Genesis,ASV
1,Genesis1:29,PHRASE,the earth,H776,Genesis,ASV
1,Genesis1:29,WORD,and,H853,Genesis,ASV
1,Genesis1:29,WORD,every,H3605,Genesis,ASV
1,Genesis1:29,WORD,tree,H6086,Genesis,ASV
1,Genesis1:29,WORD,which,H834,Genesis,ASV
1,Genesis1:29,WORD,has,,Genesis,ASV
1,Genesis1:29,WORD,fruit,H6529,Genesis,ASV
1,Genesis1:29,WORD,yielding,H2232,Genesis,ASV
1,Genesis1:29,WORD,seed,H2233,Genesis,ASV
1,Genesis1:29,PHRASE,it shall be,H1961,Genesis,ASV
1,Genesis1:29,WORD,food,H402,Genesis,ASV
1,Genesis1:29,PHRASE,for you,,Genesis,ASV
1,Genesis1:30,PHRASE,and to every,H3605,Genesis,ASV
1,Genesis1:30,WORD,beast,H2416,Genesis,ASV
1,Genesis1:30,PHRASE,of the earth,H776,Genesis,ASV
1,Genesis1:30,PHRASE,and to every,H3605,Genesis,ASV
1,Genesis1:30,WORD,bird,H5775,Genesis,ASV
1,Genesis1:30,PHRASE,of the sky,H8064,Genesis,ASV
1,Genesis1:30,PHRASE,and to every,H3605,Genesis,ASV
1,Genesis1:30,WORD,thing,H3605,Genesis,ASV
1,Genesis1:30,PHRASE,that moves,H7430,Genesis,ASV
1,Genesis1:30,PHRASE,on the earth,H776,Genesis,ASV
1,Genesis1:30,WORD,which,H834,Genesis,ASV
1,Genesis1:30,PHRASE,has life,H5315,Genesis,ASV
1,Genesis1:30,WORD,,H2416,Genesis,ASV
1,Genesis1:30,PHRASE,I have given every,H3605,Genesis,ASV
1,Genesis1:30,WORD,green,H3418,Genesis,ASV
1,Genesis1:30,WORD,plant,H6212,Genesis,ASV
1,Genesis1:30,PHRASE,for food,H402,Genesis,ASV
1,Genesis1:30,PHRASE,and it was so,H3651,Genesis,ASV
1,Genesis1:31,WORD,God,H430,Genesis,ASV
1,Genesis1:31,WORD,saw,H7200,Genesis,ASV
1,Genesis1:31,WORD,all,H3605,Genesis,ASV
1,Genesis1:31,WORD,that,H834,Genesis,ASV
1,Genesis1:31,PHRASE,He had made,H6213,Genesis,ASV
1,Genesis1:31,PHRASE,and behold,H2009,Genesis,ASV
1,Genesis1:31,PHRASE,it was,,Genesis,ASV
1,Genesis1:31,WORD,very,H3966,Genesis,ASV
1,Genesis1:31,WORD,good,H2896,Genesis,ASV
1,Genesis1:31,PHRASE,And there was,H1961,Genesis,ASV
1,Genesis1:31,WORD,evening,H6153,Genesis,ASV
1,Genesis1:31,PHRASE,and there was,H1961,Genesis,ASV
1,Genesis1:31,WORD,morning,H1242,Genesis,ASV
1,Genesis1:31,PHRASE,the sixth,H8345,Genesis,ASV
1,Genesis1:31,WORD,day,H3117,Genesis,ASV
2,Genesis2:1,WORD,Thus,H3615,Genesis,ASV
2,Genesis2:1,PHRASE,the heavens,H8064,Genesis,ASV
